trans_id,customer_id,Customer_Name,email,date of transaction,Year,category,payment_method,transaction_amount,Balance,last_update
T001,C004,Thomas Martinez,thomas.martinez36@example.com,11/5/2024,2024,Groceries,Card,$171.00,"$4,775.00",3/7/2025
T002,C010,Richard Jackson,richard.jackson37@example.com,6/25/2025,2025,Entertainment,Cash,$243.00,"$8,891.00",16/07/2024
T003,C005,Patricia Rodriguez,patricia.rodriguez50@example.com,21/07/2025,2025,Transport,Card,$54.00,"$7,042.00",5/6/2025
T004,C009,James Johnson,james.johnson55@example.com,4/16/2024,2024,Healthcare,Cash,$78.00,"$7,132.00",11/8/2024
T005,C003,Robert Lopez,robert.lopez55@example.com,9/27/2024,2024,Entertainment,Card,$214.00,"$5,835.00",6/7/2025
T006,C017,Barbara Moore,barbara.moore3@example.com,4/19/2024,2024,Health care,Mobile Money,$471.00,"$8,026.00",11/8/2024
T007,C003,Robert Lopez,robert.lopez55@example.com,7/20/2025,2025,Other,Card,$388.00,"$5,835.00",17/11/2024
T008,C016,Elizabeth Miller,elizabeth.miller15@example.com,5/10/2024,2024,Groceries,Cash,$185.00,"$6,713.00",8/16/2024
T009,C004,Thomas Martinez,thomas.martinez36@example.com,8/3/2024,2024,Other,Card,$414.00,"$4,775.00",1/29/2025
T010,C018,Susan Rodriguez,susan.rodriguez95@example.com,12/17/2024,2024,Healthcare,Card,$370.00,"$1,255.00",6/7/2025
T011,C017,Barbara Moore,barbara.moore3@example.com,9/27/2024,2024,Healthcare,Card,$391.00,"$8,026.00",12/3/2024
T012,C007,William Johnson,william.johnson83@example.com,15/05/2025,2025,Utilities,Mobile Money,$194.00,"$8,312.00",16/07/2024
T013,C005,Patricia Rodriguez,patricia.rodriguez50@example.com,2/22/2024,2024,Utilities,Card,$376.00,"$7,042.00",9/24/2024
T014,C012,Jessica Gonzalez,jessica.gonzalez15@example.com,9/3/2025,2025,Other,Mobile Money,$266.00,"$1,924.00",6/7/2025
T015,C017,Barbara Moore,barbara.moore3@example.com,2/15/2024,2024,Education,Mobile Money,$350.00,"$8,026.00",17/08/2025
T016,C013,Robert Martinez,robert.martinez64@example.com,12/7/2024,2024,Other,Card,$181.00,"$2,581.00",11/8/2024
T017,C003,Robert Lopez,robert.lopez55@example.com,9/25/2024,2024,Utilities,Card,$341.00,"$5,835.00",5/6/2025
T018,C009,James Johnson,james.johnson55@example.com,3/28/2025,2025,Healthcare,Card,$119.00,"$7,132.00",6/7/2025
T019,C017,Barbara Moore,barbara.moore3@example.com,3/13/2025,2025,Transport,Cash,$301.00,"$8,026.00",6/7/2025
T020,C017,Barbara Moore,barbara.moore3@example.com,1/10/2024,2024,Other,Card,$464.00,"$8,026.00",2/15/2024
T021,C020,Joseph Taylor,joseph.taylor97@example.com,3/18/2024,2024,Healthcare,Mobile Money,$324.00,"$2,838.00",17/11/2024
T022,C016,Elizabeth Miller,elizabeth.miller15@example.com,6/1/2024,2024,Transport,Card,$494.00,"$6,713.00",17/08/2025
T023,C013,Robert Martinez,robert.martinez64@example.com,6/2/2024,2024,Transport,Cash,$413.00,"$2,581.00",13/07/2024
T024,C019,Sarah Jones,sarah.jones36@example.com,7/19/2025,2025,Utilities,Card,$231.00,"$5,804.00",6/7/2025
T025,C017,Barbara Moore,barbara.moore3@example.com,3/16/2025,2025,Other,Cash,$216.00,"$8,026.00",8/16/2024
T026,C004,Thomas Martinez,thomas.martinez36@example.com,12/2/2024,2024,Entertainment,Cash,$140.00,"$4,775.00",9/24/2024
T027,C012,Jessica Gonzalez,jessica.gonzalez15@example.com,1/8/2025,2025,Groceries,Card,$251.00,"$1,924.00",5/6/2025
T028,C009,James Johnson,james.johnson55@example.com,1/1/2025,2025,Utilities,Mobile Money,$395.00,"$7,132.00",13/07/2024
T029,C019,Sarah Jones,sarah.jones36@example.com,9/12/2024,2024,Utilities,Cash,$68.00,"$5,804.00",9/24/2024
T030,C012,Jessica Gonzalez,jessica.gonzalez15@example.com,15/04/2024,2024,Entertainment,Card,$88.00,"$1,924.00",5/6/2025
T031,C009,James Johnson,james.johnson55@example.com,27/07/2025,2025,Groceries,Card,$175.00,"$7,132.00",12/3/2024
T032,C007,William Johnson,william.johnson83@example.com,6/7/2024,2024,Healthcare,Mobile Money,$222.00,"$8,312.00",2/9/2024
T033,C014,Jessica Taylor,jessica.taylor16@example.com,6/15/2024,2024,Education,Cash,$190.00,"$8,714.00",2/15/2024
T034,C020,Joseph Taylor,joseph.taylor97@example.com,2/26/2025,2025,Other,Cash,$291.00,"$2,838.00",13/07/2024
T035,C019,Sarah Jones,sarah.jones36@example.com,7/2/2024,2024,Education,Card,$269.00,"$5,804.00",20/03/2025
T036,C015,Jessica Miller,jessica.miller5@example.com,6/12/2024,2024,Healthcare,Card,$175.00,"$4,324.00",17/11/2024
T037,C016,Elizabeth Miller,elizabeth.miller15@example.com,11/9/2024,2024,Utilities,Mobile Money,$107.00,"$6,713.00",16/07/2024
T038,C005,Patricia Rodriguez,patricia.rodriguez50@example.com,6/12/2024,2024,Groceries,Mobile Money,$197.00,"$7,042.00",11/8/2024
T039,C003,Robert Lopez,robert.lopez55@example.com,20/04/2024,2025,Utilities,Cash,$366.00,"$5,835.00",9/24/2024
T040,C012,Jessica Gonzalez,jessica.gonzalez15@example.com,9/2/2024,2024,Transport,Cash,$432.00,"$1,924.00",#N/A
